id,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,pred
0,2.49E+18,1.24E+18,18.28629112,16.96824265,16.33431816,16.03988457,15.85720253,0.094920635,0.073961519,0.051166236,0.038021997,0.028281379,20.53570938,22.65497017,0,0.001932893,2.249418259,3.567466736,4.20139122,4.495824814,4.678506851,1.318048477,1.951972961,2.246406555,2.429088593,0.633924484,0.928358078,1.111040115,0.294433594,0.477115631,0.182682037,-2.119260788,-4.368679047,-5.686727524,-6.320652008,-6.615085602,-6.797767639,0
1,2.49E+18,1.24E+18,22.73496246,21.51623344,20.17850113,19.23802948,18.80967522,0.105130598,0.081917048,0.056669835,0.042111762,0.031323414,22.59444427,22.96605301,1,2.097113609,-0.140518188,1.078210831,2.415943146,3.356414795,3.784769058,1.218729019,2.556461334,3.496932983,3.925287247,1.337732315,2.278203964,2.706558228,0.940471649,1.368825912,0.428354263,-0.371608734,-0.231090546,-1.449819565,-2.78755188,-3.728023529,-4.156377792,1
2,2.49E+18,1.24E+18,21.22339821,21.14362335,21.14997292,20.99898911,21.14585304,0.085433081,0.066568881,0.046052042,0.034221604,0.025454586,22.86787415,24.001894,1,1.730619431,1.644475937,1.724250793,1.71790123,1.86888504,1.722021103,0.079774857,0.073425293,0.224409103,0.077545166,-0.006349564,0.144634247,-0.002229691,0.15098381,0.004119873,-0.146863937,-1.134019852,-2.778495789,-2.858270645,-2.851921082,-3.002904892,-2.856040955,1
3,2.49E+18,1.24E+18,21.77144432,21.63699532,21.56497383,21.47639275,21.26608467,0.074157096,0.05778271,0.03997381,0.029704824,0.022094931,21.90054131,22.84602547,1,0.855978847,0.129096985,0.26354599,0.335567474,0.42414856,0.634456635,0.134449005,0.20647049,0.295051575,0.50535965,0.072021484,0.16060257,0.370910645,0.088581085,0.29888916,0.210308075,-0.945484161,-1.074581146,-1.209030151,-1.281051636,-1.369632721,-1.579940796,1
4,2.49E+18,1.24E+18,22.7679882,22.01859093,21.65895271,21.09875107,20.73415184,0.050160713,0.039084889,0.027038744,0.020092685,0.014945266,23.46177483,24.28468513,1,1.643223763,0.693786621,1.443183899,1.802822113,2.363023758,2.727622986,0.749397278,1.109035492,1.669237137,2.033836365,0.359638214,0.919839859,1.284439087,0.560201645,0.924800873,0.364599228,-0.822910309,-1.51669693,-2.266094208,-2.625732422,-3.185934067,-3.550533295,1
5,2.49E+18,1.24E+18,21.14434052,21.06635094,21.11428452,20.74437141,20.67423058,0.068251163,0.053180844,0.036790259,0.027339106,0.020335272,22.69741058,23.16161156,1,1.926368475,1.553070068,1.631059647,1.583126068,1.953039169,2.023180008,0.077989578,0.030056,0.399969101,0.47010994,-0.047933578,0.321979523,0.392120361,0.369913101,0.44005394,0.070140839,-0.464200974,-2.017271042,-2.09526062,-2.047327042,-2.417240143,-2.487380981,1
6,2.49E+18,1.24E+18,21.03252029,20.73530769,20.66348457,20.49785805,20.41346741,0.063812435,0.049722221,0.034397602,0.025561104,0.019012766,22.47178459,22.90649223,1,1.545420408,1.439264297,1.736476898,1.808300018,1.973926544,2.058317184,0.297212601,0.369035721,0.534662247,0.619052887,0.07182312,0.237449646,0.321840286,0.165626526,0.250017166,0.08439064,-0.434707642,-1.873971939,-2.17118454,-2.24300766,-2.408634186,-2.493024826,1
7,2.49E+18,1.24E+18,20.39531708,19.66262436,19.47485352,19.44799042,19.33700562,0.046302646,0.03607871,0.024959084,0.018547274,0.013795764,23.67519951,24.85709953,1,2.26642108,3.279882431,4.01257515,4.200345993,4.227209091,4.338193893,0.732692719,0.920463562,0.94732666,1.058311462,0.187770844,0.214633942,0.325618744,0.026863098,0.1378479,0.110984802,-1.181900024,-4.461782455,-5.194475174,-5.382246017,-5.409109116,-5.520093918,0
8,2.49E+18,1.24E+18,21.2505722,20.68260193,20.51989174,20.41394043,19.96601677,0.048595659,0.037865408,0.026195114,0.019465778,0.014478963,23.72145653,24.1718235,1,2.268756866,2.470884323,3.038854599,3.201564789,3.307516098,3.755439758,0.567970276,0.730680466,0.836631775,1.284555435,0.16271019,0.268661499,0.716585159,0.105951309,0.553874969,0.44792366,-0.450366974,-2.921251297,-3.489221573,-3.651931763,-3.757883072,-4.205806732,1
9,2.49E+18,1.24E+18,21.46244812,21.58044434,21.19281769,21.1703434,21.142313,0.046547599,0.036269575,0.025091125,0.018645395,0.013868748,22.3899231,23.35441399,1,1.399311423,0.927474976,0.80947876,1.197105408,1.219579697,1.247610092,-0.117996216,0.269630432,0.292104721,0.320135117,0.387626648,0.410100937,0.438131332,0.022474289,0.050504684,0.028030396,-0.964490891,-1.891965866,-1.77396965,-2.161596298,-2.184070587,-2.212100983,1
