id,id1,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,pred
0,5,6.37482E+18,1.23767E+18,20.02475548,20.00008774,20.17125893,20.36888885,20.47201729,0.083740793,0.065250263,0.045139827,0.033543732,0.024950372,20.83555222,21.72792625,0,-0.000797145,0.810796738,0.835464478,0.664293289,0.466663361,0.363534927,0.02466774,-0.146503448,-0.344133377,-0.44726181,-0.171171188,-0.368801117,-0.47192955,-0.197629929,-0.300758362,-0.103128433,-0.892374039,-1.703170776,-1.727838516,-1.556667328,-1.359037399,-1.255908966,0
1,24,6.37482E+18,1.23767E+18,20.70727348,20.27891922,20.21541023,19.80191994,19.81911087,0.101145245,0.07881169,0.054521561,0.040515363,0.030135987,20.88969231,21.79741669,1,0.552487314,0.182418823,0.610773087,0.674282074,1.087772369,1.070581436,0.428354263,0.491863251,0.905353546,0.888162613,0.063508987,0.476999283,0.45980835,0.413490295,0.396299362,-0.017190933,-0.90772438,-1.090143204,-1.518497467,-1.582006454,-1.99549675,-1.978305817,1
2,37,6.37482E+18,1.23767E+18,20.32177925,19.87407875,19.9077282,20.03596687,19.86216545,0.083703808,0.065221444,0.045119893,0.033528917,0.024939353,19.75774956,21.98613739,1,0.86360991,-0.564029694,-0.116329193,-0.149978638,-0.278217316,-0.104415894,0.4477005,0.414051056,0.285812378,0.4596138,-0.033649445,-0.161888123,0.0119133,-0.128238678,0.045562744,0.173801422,-2.228387833,-1.664358139,-2.11205864,-2.078409195,-1.950170517,-2.123971939,1
3,82,3.15052E+18,1.23767E+18,24.10404205,21.85769653,20.6230793,19.43223763,18.5332756,0.071296386,0.055553664,0.038431767,0.028558921,0.021242591,23.15952682,23.15384102,0,3.06E-05,-0.944515228,1.301830292,2.536447525,3.7272892,4.626251221,2.24634552,3.480962753,4.671804428,5.570766449,1.234617233,2.425458908,3.324420929,1.190841675,2.089803696,0.898962021,0.005685806,0.950201035,-1.296144485,-2.530761719,-3.721603394,-4.620565414,0
4,88,3.15055E+18,1.23767E+18,23.27753639,20.72294807,19.28769302,18.78993034,18.39704895,0.059368014,0.046259154,0.032001868,0.023780817,0.017688559,22.86695671,22.79998016,1,0.357332528,-0.410579681,2.144008636,3.579263687,4.077026367,4.469907761,2.554588318,3.989843369,4.487606049,4.880487442,1.435255051,1.933017731,2.325899124,0.49776268,0.890644073,0.392881393,0.066976547,0.477556229,-2.077032089,-3.51228714,-4.01004982,-4.402931213,1
5,114,6.37778E+18,1.23767E+18,19.3079052,17.86073875,17.15816307,16.75780487,16.5032196,0.162541986,0.126651615,0.087617002,0.065108821,0.048429005,20.18796539,20.74512863,1,0.089699335,0.880060196,2.327226639,3.029802322,3.430160522,3.684745789,1.447166443,2.149742126,2.550100327,2.804685593,0.702575684,1.102933884,1.35751915,0.4003582,0.654943466,0.254585266,-0.557163239,-1.437223434,-2.884389877,-3.586965561,-3.987323761,-4.241909027,1
6,127,2.48529E+18,1.23767E+18,23.72807884,22.17557716,20.71482086,18.9350853,17.71957588,0.107618034,0.083855242,0.058010668,0.043108143,0.032064538,23.48392105,23.93630409,0,2.84E-05,-0.244157791,1.308343887,2.769100189,4.548835754,5.764345169,1.552501678,3.01325798,4.792993546,6.00850296,1.460756302,3.240491867,4.456001282,1.779735565,2.99524498,1.215509415,-0.452383041,-0.20822525,-1.760726929,-3.221483231,-5.001218796,-6.21672821,0
7,131,3.15228E+18,1.23767E+18,24.60623741,21.7989521,21.94127655,22.12405777,21.57834625,0.145642385,0.113483556,0.078507401,0.058339413,0.043393806,23.40945625,23.6632309,1,2.201130867,-1.196781158,1.61050415,1.468179703,1.285398483,1.831110001,2.807285309,2.664960861,2.482179642,3.027891159,-0.142324448,-0.325105667,0.22060585,-0.182781219,0.362930298,0.545711517,-0.253774643,0.943006516,-1.864278793,-1.721954346,-1.539173126,-2.084884644,0
8,132,3.15228E+18,1.23767E+18,24.60623741,21.7989521,21.94127655,22.12405777,21.57834625,0.145642385,0.113483556,0.078507401,0.058339413,0.043393806,23.40945625,23.6632309,1,2.19944644,-1.196781158,1.61050415,1.468179703,1.285398483,1.831110001,2.807285309,2.664960861,2.482179642,3.027891159,-0.142324448,-0.325105667,0.22060585,-0.182781219,0.362930298,0.545711517,-0.253774643,0.943006516,-1.864278793,-1.721954346,-1.539173126,-2.084884644,0
9,133,6.37771E+18,1.23767E+18,20.4771328,20.0772934,19.9987812,19.88041306,19.85602188,0.153497919,0.119604535,0.082741864,0.061486073,0.045734342,20.64824104,21.17683792,1,0.713766336,0.171108246,0.570947647,0.649459839,0.767827988,0.792219162,0.399839401,0.478351593,0.596719742,0.621110916,0.078512192,0.196880341,0.221271515,0.118368149,0.142759323,0.024391174,-0.528596878,-0.699705124,-1.099544525,-1.178056717,-1.296424866,-1.32081604,1
